"Subject" "Emotion" "Memory" "Test.Tag"
"103" 10 "Fear" "Fear\Female\FF_0.png" "Fear\Female\FF_1.png"
"104" 10 "Fear" "Fear\Male\FM_0.png" "Fear\Male\FM_0.png"
"105" 10 "Anger" "Anger\Female\AF_0.png" "Anger\Female\AF_0.png"
"106" 10 "Fear" "Fear\Female\FF_6.png" "Fear\Female\FF_6.png"
"107" 10 "Happy" "Happiness\Female\HF_5.png" "Happiness\Female\HF_6.png"
"108" 10 "Fear" "Fear\Male\FM_4.png" "Fear\Male\FM_5.png"
"109" 10 "Anger" "Anger\Male\AM_5.png" "Anger\Male\AM_4.png"
"110" 10 "Happy" "Happiness\Male\HM_0.png" ""
"111" 10 "Anger" "Anger\Male\AM_4.png" "Anger\Male\AM_5.png"
"112" 10 "Happy" "Happiness\Male\HM_0.png" "Happiness\Male\HM_2.png"
"113" 10 "Anger" "Anger\Female\AF_4.png" "Anger\Female\AF_5.png"
"114" 10 "Fear" "Fear\Male\FM_3.png" "Fear\Male\FM_1.png"
"115" 10 "Fear" "Fear\Male\FM_5.png" "Fear\Male\FM_7.png"
"116" 10 "Anger" "Anger\Female\AF_2.png" "Anger\Female\AF_2.png"
"117" 10 "Anger" "Anger\Female\AF_7.png" "Anger\Female\AF_6.png"
"118" 10 "Fear" "Fear\Male\FM_5.png" "Fear\Male\FM_6.png"
"119" 10 "Fear" "Fear\Male\FM_2.png" "Fear\Male\FM_4.png"
"120" 10 "Anger" "Anger\Male\AM_6.png" "Anger\Male\AM_4.png"
"121" 10 "Fear" "Fear\Female\FF_7.png" "Fear\Female\FF_7.png"
"122" 10 "Happy" "Happiness\Male\HM_7.png" "Happiness\Male\HM_7.png"
"123" 10 "Happy" "Happiness\Female\HF_5.png" "Happiness\Female\HF_6.png"
"124" 10 "Happy" "Happiness\Female\HF_3.png" "Happiness\Female\HF_4.png"
"125" 10 "Happy" "Happiness\Male\HM_5.png" "Happiness\Male\HM_5.png"
"126" 10 "Fear" "Fear\Female\FF_5.png" "Fear\Female\FF_4.png"
"127" 10 "Happy" "Happiness\Male\HM_2.png" "Happiness\Male\HM_4.png"
"128" 10 "Happy" "Happiness\Male\HM_4.png" "Happiness\Male\HM_4.png"
"129" 10 "Fear" "Fear\Female\FF_3.png" "Fear\Female\FF_3.png"
